codmun,ano,is_top_100,regiao
150290,2007,0,Norte
150290,2010,0,Norte
150293,2007,0,Norte
150293,2010,0,Norte
150295,2007,0,Norte
150295,2010,0,Norte
150300,2007,0,Norte
150300,2010,0,Norte
150304,2007,0,Norte
150304,2010,0,Norte
150307,2007,0,Norte
150307,2010,0,Norte
150309,2007,0,Norte
150309,2010,0,Norte
150310,2007,0,Norte
150310,2010,0,Norte
150320,2007,0,Norte
150320,2010,0,Norte
150330,2007,0,Norte
150330,2010,0,Norte
150340,2007,0,Norte
150340,2010,0,Norte
150345,2007,0,Norte
150345,2010,0,Norte
150350,2007,0,Norte
150350,2010,0,Norte
150360,2007,0,Norte
150360,2010,0,Norte
150370,2007,0,Norte
150370,2010,0,Norte
150375,2007,0,Norte
150375,2010,0,Norte
150380,2007,0,Norte
150380,2010,0,Norte
150390,2007,0,Norte
150390,2010,0,Norte
150400,2007,0,Norte
150400,2010,0,Norte
150405,2007,0,Norte
150405,2010,0,Norte
150410,2007,0,Norte
150410,2010,0,Norte
150420,2007,0,Norte
150420,2010,0,Norte
150430,2007,0,Norte
150430,2010,0,Norte
150440,2007,0,Norte
150440,2010,0,Norte
150442,2007,0,Norte
150442,2010,0,Norte
150445,2007,0,Norte
150445,2010,0,Norte
150450,2007,0,Norte
150450,2010,0,Norte
150460,2007,0,Norte
150460,2010,0,Norte
150470,2007,0,Norte
150470,2010,0,Norte
150490,2007,0,Norte
150490,2010,0,Norte
150495,2007,0,Norte
150495,2010,0,Norte
150497,2007,0,Norte
150497,2010,0,Norte
150500,2007,0,Norte
150500,2010,0,Norte
150503,2007,0,Norte
150503,2010,0,Norte
150506,2007,0,Norte
150506,2010,0,Norte
150510,2007,0,Norte
150510,2010,0,Norte
150520,2007,0,Norte
150520,2010,0,Norte
150530,2007,0,Norte
150530,2010,0,Norte
150540,2007,0,Norte
150540,2010,0,Norte
150543,2007,0,Norte
150543,2010,0,Norte
150548,2007,0,Norte
150548,2010,0,Norte
150549,2007,0,Norte
150549,2010,0,Norte
150550,2007,0,Norte
150550,2010,0,Norte
150553,2007,0,Norte
150553,2010,0,Norte
150560,2007,0,Norte
150560,2010,0,Norte
150563,2007,0,Norte
150563,2010,0,Norte
150565,2007,0,Norte
150565,2010,0,Norte
150570,2007,0,Norte
150570,2010,0,Norte
150580,2007,0,Norte
150580,2010,0,Norte
150590,2007,0,Norte
150590,2010,0,Norte
150600,2007,0,Norte
150600,2010,0,Norte
150611,2007,0,Norte
150611,2010,0,Norte
150616,2007,0,Norte
150616,2010,0,Norte
150618,2007,0,Norte
150618,2010,0,Norte
150619,2007,0,Norte
150619,2010,0,Norte
150620,2007,0,Norte
150620,2010,0,Norte
150630,2007,0,Norte
150630,2010,0,Norte
150635,2007,0,Norte
150635,2010,0,Norte
150640,2007,0,Norte
150640,2010,0,Norte
150655,2007,0,Norte
150655,2010,0,Norte
150658,2007,0,Norte
150658,2010,0,Norte
150660,2007,0,Norte
150660,2010,0,Norte
150670,2007,0,Norte
150670,2010,0,Norte
150680,2007,0,Norte
150680,2010,0,Norte
150680,2010,0,Norte
150680,2010,0,Norte
150680,2010,0,Norte
150690,2007,0,Norte
150690,2010,0,Norte
150700,2007,0,Norte
150700,2010,0,Norte
150710,2007,0,Norte
150710,2010,0,Norte
150715,2007,0,Norte
150715,2010,0,Norte
150720,2007,0,Norte
150720,2010,0,Norte
150730,2007,0,Norte
150730,2010,0,Norte
150740,2007,0,Norte
150740,2010,0,Norte
150745,2007,0,Norte
150745,2010,0,Norte
150746,2007,0,Norte
150746,2010,0,Norte
150747,2007,0,Norte
150747,2010,0,Norte
150750,2007,0,Norte
150750,2010,0,Norte
150760,2007,0,Norte
150760,2010,0,Norte
150770,2007,0,Norte
150770,2010,0,Norte
150780,2007,0,Norte
150780,2010,0,Norte
150790,2007,0,Norte
150790,2010,0,Norte
150795,2007,0,Norte
150795,2010,0,Norte
150796,2007,0,Norte
150796,2010,0,Norte
150797,2007,0,Norte
150797,2010,0,Norte
150800,2007,0,Norte
150800,2010,0,Norte
150803,2007,0,Norte
150803,2010,0,Norte
150805,2007,0,Norte
150805,2010,0,Norte
150808,2007,0,Norte
150808,2010,0,Norte
150810,2007,0,Norte
150810,2010,0,Norte
150812,2007,0,Norte
150812,2010,0,Norte
150815,2007,0,Norte
150815,2010,0,Norte
150820,2007,0,Norte
150820,2010,0,Norte
150830,2007,0,Norte
150830,2010,0,Norte
150835,2007,0,Norte
150835,2010,0,Norte
150840,2007,0,Norte
150840,2010,0,Norte
160005,2007,0,Norte
160005,2010,0,Norte
160010,2007,0,Norte
160010,2010,0,Norte
160015,2007,0,Norte
160015,2010,0,Norte
160020,2007,0,Norte
160020,2010,0,Norte
160021,2007,0,Norte
160021,2010,0,Norte
160023,2007,0,Norte
160023,2010,0,Norte
160025,2007,0,Norte
160025,2010,0,Norte
160027,2007,0,Norte
160027,2010,0,Norte
160030,2007,1,Norte
160030,2010,1,Norte
160040,2007,0,Norte
160040,2010,0,Norte
160050,2007,0,Norte
160050,2010,0,Norte
160053,2007,0,Norte
160053,2010,0,Norte
160055,2007,0,Norte
160055,2010,0,Norte
160070,2007,0,Norte
160070,2010,0,Norte
160080,2007,0,Norte
160080,2010,0,Norte
170025,2007,0,Norte
